Here is the full Sigma Awards 2020 + 2021 data !,,,,,,,,,,,,,,,,,,,,,,
Why?,"When someone applies to the Sigma Awards, he/she is required to share more than a description of their work. We ask about the technologies used, the impact reached, the challenges encountered, and more. We also gather data on countries and organisation represented. 

We believe this information can be very valuable to other members of the data journalism community. That's why we are sharing it with you in a usable format. So that you can process it easily and maybe do incredible things out of it. Do take a look at the Licence file for more info on the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License we decided to use for this data.",,,,,,,,,,,,,,,,,,,,,
Source,Information sent to us by participants via the Sigma Awards 2020 and 2021 online application forms (collected via the Judgify plateform) between 2 January 2020 and 4 February 2021,,,,,,,,,,,,,,,,,,,,,
Information included,For 2021 single projects,"Country, Publishing organisations, Organisation size, Project title, Tags, Technologies tools used, A short description of the project, What was the impact of the project, What tools techniques technologies did you use and how did you use them, What was the hardest part of this project, What should the jury know to better understand what you did and why it should be selected, What can other journalists learn from this project, Project links, Who made this project, Short biography/ies, Publication date",,,,,,,,,,,,,,,,,,,,
,For 2021 portfolios,"Country, Publishing organisations, Organisation size, Project title, Cover letter, Description of your portfolio, Project links                                ",,,,,,,,,,,,,,,,,,,,
,For 2020 single projects,"Country, Publishing organisations, Results, Category, Organisation size, Project title, Publication date, Tags, Technologies tools used, A short description of the project, What was the impact of the project, What tools techniques technologies did you use and how did you use them, What was the hardest part of this project What should the jury know to better understand what you did and why it should be selected 	What can other journalists learn from this project, Project links, Who made this project, Short biography/ies			",,,,,,,,,,,,,,,,,,,,
,For 2020 portfolios,"Country, Publishing organisations, Results, Category, Organisation size, Project title, Cover letter, Description of your portfolio,Project links",,,,,,,,,,,,,,,,,,,,
Contacts,"Marianne Bouchart, Exec. Director",marianne@sigmaawards.org,,,,,,,,,,,,,,,,,,,,
,"Kuek Ser Kuang Keng,  Competition Officer",keng@sigmaawards.org,,,,,,,,,,,,,,,,,,,,
Website to link back to,The Sigma Awards website,https://sigmaawards.org,,,,,,,,,,,,,,,,,,,,
,The Sigma Awards interactive database of projects,https://sigmaawards.org/projects,,,,,,,,,,,,,,,,,,,,
GitHub,The Sigma Awards,https://github.com/Sigma-Awards,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Missing data,2021 Entries concerned,Info on missing data,,,,,,,,,,,,,,,,,,,,
,"The Mapping Makoko project by Code for Africa, The Guardian Nigeria, Pulitzer Centre on Crisis Reporting, Humanitarian Open Street Map Team, AfricanDRONE, Uhuru Labs","This entry was submitted as a portfolio during the application process. The Sigmas team changed its status from portfolio to single project because that fitted the entry better. The information collected for portfolio entries and single projects being different, you will notice that the ""tags"" and ""technologies used' cells for this project are marked as ""n-a"".",,,,,,,,,,,,,,,,,,,,
,The Guardian's Coronavirus portfolio,"This entry was submitted as a single-project entry during the application process. The Sigmas team changed its status from single project to portfolio because that fitted the entry better. Since the information collected for portfolio entries and single projects is different, the answers given by the applicant for the five questions have been kept by merging them into two answers. However, answers to the ""tags"" and ""technologies tools used"" have been removed.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
