Country,Publishing organisations,Organisation size,Results,Category,Project title,Publication date,Tags,Technologies tools used,A short description of the project,What was the impact of the project,What tools techniques technologies did you use and how did you use them,What was the hardest part of this project What should the jury know to better understand what you did and why it should be selected ,What can other journalists learn from this project,Project link 1,Project link 2,Project link 3,Project link 4,Project link 5,Project link 6,Project link 7,Who made this project,Short biography/ies,,,
Malaysia,Malaysiakini,Big,Participant,Best visualization (small and large newsrooms),The 2020 Malaysian federal budget,10/11/19,"Explainer,Quiz/game,Infographics,Chart,Economy","Personalisation,Json,CSV"," The Budget 2020 microsite consists of three components; an infographic, a quiz and a poll.    The goal was to convey massive information of the Malaysian federal budget in a simple, comprehensible, timely and personalised manner.   The infographic gives an overview of the budget by visualising the big numbers with different charts along with explanations.   The quiz is to help Malaysians understand how they are impacted by the latest federal budget with personalised information by answering some questions.   The poll component allowed readers to share how they felt about key announcements in the budget.    "," The Budget 2020 microsite was received well by the public. In the first two days after it was launched, the microsite received more than 92 thousand unique page views with an average time of 3 minutes and 57 seconds. Within a week, the microsite received 168 thousand unique visitors in total.   The budget quiz poll also served as a springboard for public discussion of the 2020 federal budget, with readers debating the pros and cons of each new policy when we shared the poll results on social media. There were more than 231 thousand people participated in the poll.   It was the second time for Malaysiakini to build a microsite for the budget and we started to see a trend for it as other Malaysian newsrooms, such as <a href=""https://sites.thestar.com.my/budget2020/visual-story.aspx"">The Star</a> and Nanyang Siang Pau [<a href=""https://www.enanyang.my/?p=1300318"">1</a>][<a href=""https://www.enanyang.my/?p=1301026"">2</a>][<a href=""https://www.enanyang.my/news/20191012/%E3%80%90%E4%BA%92%E5%8A%A8%E6%B8%B8%E6%88%8F%E3%80%91%E8%B4%A2%E6%A1%88%E5%85%B3%E6%88%91%E4%BD%95%E4%BA%8B/"">3</a>] to produce similar works. In other words, it has created an impact in the Malaysian news industry to produce more data and visual-driven interacitve journalism work.  "," We used HTML, CSS and JavaScript, React, Google Firebase, amCharts and D3 to create the microsite.   For the infographic, we used data visualisation JavaScript library amCharts and D3 to render the charts and tables.   Generating charts and tables with JavaScript libraries, without relying on any third-party tool, was particularly useful for a multi-language news portal like Malaysiakini. Once the JavaScript files are properly written, we only need to modify the data once and the outcome will be shown for three languages.   We wrote a dedicated JavaScript script for the quiz. We store the data (the questions and answers) in a separate JSON file. Each object in the JSON file contains a question, the choices, the answers, and most importantly, an id.   The script allows us to show a question for our readers based on the previous answers to the previous question. It was done by identifying the id of the questions. The purpose of it is to make the answers to be more personalised.   For example, if a reader answer that she is a woman in a question, the next questions will be some policies or announcements from the budget that related to her gender.   The poll was created with React library to make sure that it has a faster loading speed, especially when drawing the polling result from Google Firebase. Using Google Firebase also prevent us from dealing with the issue of spam votes.    "," The hardest part of this project is to launch the project in the interest of time. The public’s attention span on the budget announcement could be very short, so our aim was to publish it within the same day when the budget was announced before our readers losing their interest in it.   It was quite challenging because the budget was announced by the Malaysian finance minister in the parliament at 4pm. His speech took about 2 hours to finish, which left us about 6 hours before 12 midnight to process the speech that contains more than 10,000 words, extract the salient points, write them in a personalised quiz and poll format, then test and retest the quiz and poll, and create charts for the infographic, then translated all of them from English to Malay and Chinese version.   Luckily, we have done much of the work for the infographic a day before as most of the data is obtained from the economic outlook report that was released two days before. However, it was not the same for the quiz and poll because this could only be done after the speech was delivered in the Parliament.   Furthermore, with the experience of producing similar works for last year’s budget, we had better planning and workflow to avoid any unnecessary mistakes which happened in 2019.   Having said that, we still suffer from a technical issue as our server crashed at midnight, just minutes before the quiz and poll were launched. As a result, the release of the poll and quiz were delayed for three hours.   Another challenge is the ability in explaining the big numbers in the budget in a simple, comprehensible, timely and personalised manner. To achieve that, we decided to use simple charts to present the data.    "," Data journalism and visualisation often take time, but for this project, we managed to come out with three different products within a short period of time.    Thus, we think that the key aspect that others can learn from us is how to produce a data-driven project with the mentality of producing breaking news.   We cannot stress enough that project management plays an important role to ensure that it was a success. We had planned and prepared for the execution two months ahead.   Most importantly, we hope to inspire more newsrooms, especially the newsrooms in Malaysia, to flourish by working on more data-driven visual storytelling.    ",https://pages.malaysiakini.com/budget2020/en/,https://pages.malaysiakini.com/budget2020/en/infographic/,https://pages.malaysiakini.com/budget2020/en/quiz/,https://pages.malaysiakini.com/budget2020/en/poll/,,,,"Lee Long Hui, Sean Ho, Nigel Aw, Koh Aun Qi, Aidila Razak, Syariman Badrulzaman, Wahyudi Mohd Yunus, Thiaga Raj Servai, Ng Xiang Yi"," Lee Long Hui is an assistant editor of Malaysiakini. He is also the project leader and programmer for this budget project. Long Hui has been a journalist for 10 years. Since 2018, he has led the Kini News Lab, a unit within the newsroom which aims to use innovation and technology to do better journalism. Under his leadership since 2018, the Kini News Lab has produced two dozen projects and set a benchmark for the Malaysian journalism industry.   Sean Ho is the Senior Products Manager and web designer for the project. Sean primarily works in web design and product management at Malaysiakini, and had previously volunteered to work on various editorial projects. As a result of several successful editorial projects, he is now seconded to the newsroom support the Kini News Lab.   Syariman Badrulzaman is the graphic designer of Malaysiakini and also one of the members of the Kini News Lab.   Thiaga Raj Web Developer. Raj contributed to the creation of the poll with React and Google Firebase.   Nigel Aw is an assistant editor of Malaysiakini. In 2015, his work won an award for editorial excellence in investigative reporting from the Hong Kong-based Society of Publishers in Asia (SOPA).   Aidila Razak is the special report editor of Malaysiakini. She has 10 years experience as a journalist, covering Malaysian current affairs. She now works on investigative, in-depth and data features. She was a shortlisted Society of Publishers Asia award and was named Online Journalist of the Year by the peer-reviewed National Press Club award.   Wahyudi Yunus is the assistant editor of Malaysiakini Malay desk. He contributed to the translation work and narrative of the infographic.   Ng Xiang Yi is a journalist of Malaysiakini's Chinese desk. She joined Malaysiakini in 2018 and has been covering current affairs of Malaysia. Xiang Yi contributed to the translation work of this project.   Koh Aun Qi was a sub-editor of Malaysiakini. She was also one of the founding members of the Kini News Lab. During her stint with Malaysiakini, Aun Qi had been actively involved in the projects conducted by the news lab. Aun Qi was also one of the project leaders to the 2019 budget microsite special project.    ",,,
China,Caixin Media,Big,Participant,Best data-driven reporting (small and large newsrooms),"We Interviewed 384 College Students about Their Relationships with Supervisors, They said...",26/01/19,"Investigation,Long-form,Database,Infographics,Politics,Culture,Crime,Human rights","Animation,D3.js,Canvas,JQuery,Json,Adobe,Creative Suite,Microsoft Excel,CSV"," The project starts with an animation of student suicide cases, which were caused by pressure and insults from their superiors. Then it led to the analysis of real responds on students’ interactions with their superiors beyond academical levels, and the effects caused by the interactions on students based on the answers we collected by questionnaires. The project demonstrated how the UK government react to students’ complains toward their superiors, and pointed out what steps should be taken in China regarding student-superior relationships. "," The questionnaires about student-superior relationship caused active discuss among college teachers when the questions were first handed out in colleges. For many teachers, it was the first time that they take serious consideration on how it might affect student’s emotional and phycological condition when the students were asked to do things they were not supposed to do——help making superior’s presentation PowerPoints, or help taking care of superior’s family members.   The project has been massively read and forwarded after published. Many readers are still filling our questionnaire at the bottom of this project to share their stories and opinions months after it was published. All in all, it is a very influential and long-lasting project. "," The opening animation was made by mental canvas by our illustrator.   We created the questionnaire by an online tool called Wenjuanxing, the questionnaire was posted and collected online.   Project was developed by d3.js. "," Data gathering was definitely the hardest point. Since there was no existing data about student-supervisor relationship, we developed our own questionnaire to collect data. We’ve collected 384 valid feedbacks, which reached the minimum sample size for research purpose. The lack of data openness in China makes data collection the most difficult part.   It is important to know that it took 9 months to complete this project. We did not just make it fast to get the project done, we waited for a long time in order to get a reasonable sample size. It’s a project that we determined to do to help the student from bad relationships with their superiors.  "," People can learn that lacking of existing data should not be the reason to abandon an important project. When there’s no existing data, we can collect data on our own, even if it could be time consuming.   It is our first time using mental canvas to make animation, it is also the first time a Chinese data journalism team using mental canvas to make animation. It is always good to learn that a data journalism team should never stopped trying new tools and new ideas.  ",http://datanews.caixin.com/mobile/interactive/2019/gaoxiao/,http://datanews.caixin.com/mobile/interactive/2019/gaoxiao/img/story_1.mp4,,,,,,"Miao Ding, Jinghua Li, Jiaxin Liu", journalist: Miao Ding   illustrator/designer: Jinghua Li   designer/developer: Jiaxin Liu ,,,
France,Les Jours,Small,Shortlist,Innovation (small and large newsrooms),« When data meets politics »,14/01/19,"Investigation,Explainer,Database,Open data,OSINT,Infographics,Chart,Politics","Scraping,JQuery,Json,Google Sheets,CSV,Python","« When data meets politics » is a serie of eight data-driven stories based on different databases created by Wedodata from day 1 of Macron's presidency in France. Parliamentary debates, vote on laws, Twitter messages, official diaries… All information concerning French elected representatives and the government is recorded. In 2019, two episodes have been published on LesJours.fr, a French online-only news website (six in 2018). They are devoted to the exploration of French political life through the prism of Wikipedia: one on the reputation of French elected representatives and the other on the publishing war of Wikipedians on these political"," Since 2016, LesJours.fr has published 130 journalistic series on various topics : migrants, environnement, corruption, health, economic and political scandals... But this independant media - awarded by the Albert Londres prize, the French equivalent of the Pulitzer prize, in 2017 – hadn’t published before a data investigation and therefore it is a new ground for them and their subscribers.  The audience of this “data serie” was one of the best among their 130 series,  surely because it mixed the following 4 ingredients: the subject of politics ; new editorial angles thanks to the data ; “stories articles”, an innovative format inspired by Snapchat or Instagram and created for the occasion, ideal to read on mobile ; and visual articles offering datavisualizations, photos and GIFs.     The format of story proposed by a media directly on its site  and not by forcing the reader to go on an external platform was very noticed by the French press which is looking for audience’s engagement.     On an international level,  this project has been selected as a finalist for the 2019 “Online Journalism Awards” on the category“Excellence and Innovation in Visual Digital Storytelling, Small Newsroom”.   https://awards.journalists.org/entries/politics-through-the-data/ ","  Most of the data sources  that we query regularly are compiled by Python scripts that we have improved over time. In concrete terms, we use the following techniques: http request, page consultation automation with machine-controlled browsers, API queries when they exist.   This data is stored in distinct CSV files organized by a meta-database.  Analysis, data mining, and angles seach for the stories were done through Tableau .    To build the story format, we created a semi-WYSIWG editor  that allows non-developers of the team to work on their own. We use common web technologies: Javascript and PHP mainly. This editor produce a public version of the story which is easy to navigate, optimized and responsive, ready to be upload on a server. "," The hardest part of every journalistic investigation is to find the unexpected. What we learned by looking at French politics only through data is that it allowed us to  get out of the ""elements of language"" written by political communicators  and to provide concrete benchmarks to readers. This was the demonstration that one could interest readers in French politics other than through controversy and “snowclones”.   But for that, you have to look for data that is more distant from conventional open data. Of course Twitter, but also Wikipedia for these articles published in January 2019 which allowed us to show that the content of  each page of French elected representativesis the place of a war of influence  : we scrap all modifications and corrections made each day on MPs Wikipedia page to see if the pages were “vandalized” and by whomthanks to the totally open archives of the online encyclopedia : <a href=""http://screenstory.wedodata.fr/lesjours/index.php?story=wikipedia2-english#1/no"">http://screenstory.wedodata.fr/lesjours/index.php?story=wikipedia2-english#1/no</a>   Another challenge was to  find the right way of writing a “story article” . It's a whole other way of telling a story, because the texts must be short, dynamic, suitable for reading on a mobile with graphics. We tested a lot of ways before finding a solution that mixed writing on Google slides and oralizing texts as if we were preparing texts for the radio. "," This project shows that data is a raw material that adapts to many web formats, that you have to be attentive to usage to see how journalism can seize practices from social networks to inform and that you don't always need millions to innovate. ",https://docs.google.com/presentation/d/1611m86sdWF526u7-5wA2cfs9amQM6VSmEoqmY-E9Vlk/edit?usp=sharing,http://screenstory.wedodata.fr/lesjours/index.php?story=wikipedia2-english#1/no,,,,,,"Karen Bastien, Nicolas Boeuf, François Prosper, Victor Schmitt, Brice Terdjman, Clément Thorez, Anthony Veyssière"," Wedodata is a datajournalism and datavisualization studio, created 8 years ago at the very beginning of datadriven journalism in France. Its role: to find and tell stories starting from structured databases (encrypted or textual). This information graphics can be expressed as well on paper or on the Internet as in video or photo. Wedodata supports media, local communities, institutions ... in this new path of storytelling and pedagogy.   WeDoData consists of a hard core of seven people who master all the key skills of a datvisualization process, from understanding the data to its staging and interactivity. Specializing in media projects (Arte, France Télévisions, INA, Les Echos, Liberation, Les Jours…), the agency has made this experience available to the general public at the service of large public and research entities in their approach to open data (OECD, Ile-de-France Region, INPI, Ministry of Research, Paris School of Economics, Global Carbon project…)... Two distinctions at the ""Datajournalism awards"" crowned its eight years of projects, in 2012 and 2018. ",,,
India,The Indian Express,Big,Participant,Best visualization (small and large newsrooms),Four part series on Maharashtra Anti Terrorism Squad's deradicalisation programme: ‘I realised Allah didn't want me to sacrificemy life to make him happy',08/01/19,"Investigation,Explainer,Long-form,News application,Crime,Employment,Human rights,Terrorism",Microsoft Excel," I am enrolling my four part series on Maharashtra de-radicalisation programme which was published in The Indian Express newspaper from August 1- 4 in 2019. In the series, we talk about how Maharashtra Anti-Terrorism Squad has managed to trace, counsel and convinced 120 people who were radicalised by Islamic State against terrorism in Maharashtra. We have looked into different aspects of the counselling sessions that the radicals underwent and Anti-terrorism Squad also helped them in setting their career by providing them skills training under several government schemes to ensure that the youths aren’t misled again by the IS recruiters. "," Several other states in India started writing to the Anti-Terrorism Squad to take details on the de-radicalisation programme, so that they could built their own.  ", I majorly used recorders in my mobile phone to record my coversation with these de-radicalised youths.    Besides that I did not have to use much technology as I had a field job majorly. ," Initially the officials from the Anti-Terrorism Squad remained tight lipped about the project as they were worried that the identity of the youths may come out, but once they were assured that none of the youths shall be identified, they started divulging details on their programme. But the next and the toughest task was to get the de-radicalised youth and their family member to talk. Many youths and their family members knocked their doors on my face, but later with the help of my sources and the common people we (me and the de-radicalised youth) knew, I managed to get some of them to sit on the same table and we discussed. Still many people were scared as these youths have their whole career ahead, I managed to convince five of them and talk with them at lengths.      However as I was looking for granular details, they did not divulge much information at first meeting. I had to make several visits to different places in Maharashtra, meet them multiple times and after almost seven months of hard work, I managed to get the accurate information following which these four parts were published.     "," Socially it sends a very strong message to the readers, after reading this four part series, people learned that God doesn’t want you to kill someone to make them happy. The 120 youths realised after they underwent the de-radicalisation programme. I spoke with many people who said that they have realised that the terrorist organisation are just using them to keep their own agendas alive and they won’t ever fall for their claims.   While for the journalist, who wants to tell stories through data, I would want to share that this de-radicalisation programme was earlier discussed as a one day story but later after conversation with my superiors, I started chasing this as a four-part series. As nobody that includes the de-radicalised youths and the officers talked about the de-radicalisation project and as many times I was insulted and turned away by these youths and their family members, I started losing hope and gave up many times. Because I thought nobody will talk about the counselling session, they gave or underwent. But somehow, I kept working hard and I kept chasing different de-radicalised youths and eventually, I managed to find a way out to get them talking.       ",https://indianexpress.com/article/india/maharashtra-ats-deradicalisation-programme-muslim-youth-is-recruit-allah-didnt-want-me-to-sacrifice-my-life-5868100/,https://indianexpress.com/article/india/maharashtra-atss-deradicalisation-programme-families-help-police-pull-young-men-back-from-brink-5871121/ ,https://indianexpress.com/article/india/maharashtra-police-deradicalisation-project-core-curriculum-step-by-step-5873952/ ,https://indianexpress.com/article/india/after-maharashtra-police-deradicalisation-safety-net-skills-training-bank-loans-5876293/ ,,,,"Sagar Rajput, Nirupama Subramanian and Zeeshan Shaikh."," I work as a crime journalist in Mumbai. I have previously worked with the Mid-day for three and a half years which is a tabloid newspaper in Mumbai and I have also worked with Hindustan Times for one and a half year. Its been two years three months since I joined The Indian Express.    Besides covering crime incidents in Mumbai and Maharashtra, I also like to play and watch football. Due to my facination towards the game, I wanted to be a sports journalist but as things started going well for me in the crime beat, I started covering and eventually became a crime journalist.     ",,,
Germany,ZEIT ONLINE,Big,Participant,Best news application,Way to warm here (Viel zu warm hier),12/10/19,"Open data,News application,Chart,Environment","D3.js,QGIS,Python","During the 25th UN Climate Change Conference in Madrid, we showed the readers of ZEIT ONLINE climate change right on their doorstep. Using fine grid data from the German Weather Service, we were able to calculate for the first time how the temperature in every community in Germany has changed over the past 137 years. For the presentation we use so-called ""Warming Stripes"", heat strips inspired by the British scientist Ed Hawkins. They show how warm or how cold a year was compared to the internationally established reference period 1961-1990. The article is in German but can be seen translated"," We could show that nine of the ten hottest years were after the turn of the millennium. We were also able to calculate that Germany has warmed up by an annual average of about 1.5 degrees Celsius since records began in 1881. If the global climate had warmed up that much, we would already have missed one of the goals of the Paris Climate Convention. Finally, we show the readers in which climate zone their home town is located and how strong the warming was exactly there.   Our readers shared the heat strips from their community in the social media. We offered a special function for this. In addition, the Federal Environment Ministry took up our presentation and published a corresponding graphic. The article was also taken up in presentations such as at the Chaos Computer Congress. "," To batch download, analyze and convert the data we used a lot of command line tools such as GDAL and rasterstats. To verify our analysis we also used QGIS and Zonal Statistics. In the frontend, the project was implemented with React and D3. "," Dealing with scientific data at this large scale we talked to as many experts as possible in order to get everything perfectly right. In order to anticipate critics, in addition to the detailed methodology, we have made all calculations, scripts and data available on Github (https://github.com/ZeitOnline/waermestreifen-gemeinden-scripts) so that the results can be reproduced. ", Maximum transparency is key to anticipate critics. In case of critical questions about our article we could always refer to the reproducible scripts we published. ,https://www.zeit.de/wissen/umwelt/2019-12/klimawandel-globale-erwaermung-warming-stripes-wohnort,,,,,,,"Paul Blickle, Elena Erdmann, Flavio Gortana, Maria Mast, Julian Stahnke, Julius Troeger"," Paul Blickle (Information Designer), Elena Erdmann (Data Scientist), Flavio Gortana (Freelance Interaction Designer, Maria Mast (Science Editor), Julian Stahnke (Interaction Designer), Julius Troeger (Head of Visual Journalism) ",,,
China,Caixin Media,Big,Participant,Best data-driven reporting (small and large newsrooms),Brown Fields,08/02/19,"Investigation,Explainer,Long-form,Database,Open data,Infographics,Environment,Health","D3.js,QGIS,Canvas,JQuery,Json,Adobe,Creative Suite,Microsoft Excel,CSV"," Brown fields are lands which were polluted by industries and would be used for othere purposes. For a long time, China's brown field data is secretary for people. This project is the first report which visuliazed the data for the public. Based on open files and government information, Nanjing University and the NGO Greenpeace collected brown field data from provincial capitals and municipal cities. 174 brown fields are visualized to tell where they are, how they were polluted, and what they will be transferred to. "," It helps readers know more about the fields they are living in. Residential areas, malls, hospitals and schools, these should have been the safest places. But a lot of brown fileds were transferred into these purposes without enough environmental repair. Some tragedies happended years after these buildings came into use.   Local governments have been ordered to start open brown field data to the public. But information is scattered in their websites, difficult to find and understand. This project is an easy way to check important information about these fields. It's not only a project with analysis, but also a tool for tracking open data. "," We used excel to analyze and restructure data, Adobe Illustrator and Photoshop for design, and html/css/js(d3.js) for web page and interactive data visualization. "," Making professional enverinmental knowledges and data easy to understand for normal readers is the hardest part. We used different colors to represent four mainly harmful elements. By scrolling, readers can easily get how harmful they are from previous tragedy cases. We also rearranged plots by cities and industries to show which city open the most brown field data and what industry has the most ones. "," The final part is a data query tool. Readers can locate their living position on the map and find whether there are some brown fields around them, and how they would be repaired. This can improve readers' rights to be informed about their living enveriments. ",http://datanews.caixin.com/interactive/2019/brownfield/,,,,,,,"Jiaxin Liu, Xu Gao, Bo Zhao"," Jiaxin Liu (Reporter, Developer, Designer), Xu Gao(Illustrator, Designer), Bo Zhao(Intern Developer)   Jiaxin Liu is a data visualization developer in the Caixin VisLab. Her main job is to edit code for data visualization and front-end web page. Also, she analyzes data, writes reports and design.   Xu Gao is the Graphic Executive Director in Caixin Media. He doesn't only design charts for data visualization projects, but also helped other departments reports through plots, and design important charts for the Caixin Weekly. ",,,
China,Caixin Media,Big,Participant,Best visualization (small and large newsrooms),E-Cigarettes Mist,22/02/19,"Explainer,Long-form,Database,Infographics,Map,Environment,Lifestyle,Health","D3.js,Canvas,JQuery,Json,Adobe,Creative Suite,Microsoft Excel,CSV"," E-cigarettes were not classified in China; the supervision is still in a blank or controversy region. The attitudes of different countries toward e-cigarettes are not the same. It is based on the Global Tobacco Control database from 2017 to 2018, we visualized the attitudes and regulations of different countries around the world.   We have sorted out the acquisition information of the global tobacco giants since the birth of e-cigarettes, using timelines to show the center of tobacco market is moving to e-cigarettes. "," The project makes e-cigarettes receive enough public attention. The issue of false advertising, supervision ‘vacuum’ and the gateway effect of teenagers are widely noticed. This project has sparked heated debate on Weibo（ The largest social network platform in China） about the effect of quitting smoking, whether it should be banned by government and the new round of investment boom.   After this project, more details and issues of e-cigarettes were reported from other media organizations. China usually marks World Consumer Rights Day on March 15 with a string of media exposures. This year e-cigarettes were exposed on the annual ""3.15"" show by China Central Television (CCTV). We published it again the next day and the effect is significant.   The project has prosperous vitality. Cases of severe vaping-related pulmonary disease and a number of deaths have been reported. We update this project continuously as we get more news.   A small questionnaire was set at the beginning and end of the project, which can test the readers’ attitudes toward using e-cigarettes in public, teen vaping and advertising looked like kid-friendly food products. We can measure the impact of this project on readers by calculating how many people have changed their attitude after reading.   • the proportion of people who thinks E-cigarettes are available to guests at the restaurant decreased by 13%;    • the proportion of people who thinks E-cigarettes are acceptable to teenagers decreased by 5%;   • the proportion of people who accept e-cigarettes with labeling or advertising looked like kid-friendly food products, such as cartoon images, decreased by 3%. "," HTML, CSS and JavaScript.   In grid map, we uses JS to reconstructure the map data. All the interactive map was made by D3.js.   Other illustrations and infographics were made by Adobe Illustrator. "," This project made more media and governments pay more attention to e-cigarettes.Plenty of investigative news has put Chinese e-cigarettes under supervision.   Citing health concerns for minors, a Chinese regulator and the state tobacco monopoly jointly urged manufacturers and sellers to shut down websites related to the marketing and sale of e-cigarettes, in what could amount to an effective ban. "," We set a small questionnaire at the beginning and end of the project to test readers' attitudes toward using e-cigarettes in public, teen vaping and advertising looked like kid-friendly food products. We can measure the impact of this project on readers by calculating how many people have changed their attitudes after reading.   This project used the grid maps, which represent each country with a congruent square. It has removed the artificial visible weighting that larger geographic areas lend to a choropleth map. We present how it changes form a normal world map to a grid map, which will lower the difficulties in recoganizing country loactions and be very helpful to understand. It is also difficult for general readers to read the grid map without any reference. So next the main oceans were marked on the map . ",http://datanews.caixin.com/mobile/interactive/2019/ecig/,,,,,,,"Zhe Wang, Xingji Lu, Jinghua Li, Jiaxin Liu"," Journalist: Zhe Wang, Xingji Lu   Designer: Jinghua Li   Developer: Jiaxin Liu ",,,
Singapore,Reuters,Big,Participant,Best data-driven reporting (small and large newsrooms),How India-Pakistan tensions have disrupted air travel,26/04/19,"Investigation,Explainer,Infographics,Map","QGIS,Creative Suite"," This project visualises the empty skies and costly detours made by international airlines following an air strike in late February by the Indian military in northern Pakistan. The disruption added flight time for passengers and fuel costs for airlines.    The piece used flight tracking data to compare routes to previous days, visualised air traffic in the region, and gave granular information on delays. ", The piece revealed exactly what was happening in the skies above Pakistan and elsewhere in the region whereas other reports were referencing basic developments or headline figures of delays. The piece accompanied Reuters coverage of the ongoing story and was shared widely on social media. ," Coordinates of flight paths were plotted and sorted locally before being mapped in QGIS, then exported and taken into Illustrator to style. A range of maps were made, including an orthographic projection showing the northern hemisphere and every plane in the sky at a specific time. Dozens of flights were also analysed along with their departure and arrival times.    The page was made by placing a series of vector graphics on an HTML page and styled using CSS. An svg animation at the top of the page draws the reader in to the article. "," There was a very large amount of analysing, sorting, and prioritising flights. Choosing the right data to structure the narrative around was a challenge. We had access to literally thousands of flights and each flight was made up of hundreds of coordinates. ", Granular information can be visualised in a simple and clean way in order for readers to understand the narrative and key takeaways. Choosing to leave much of the art direction very subtle and basic allowed the flight paths and data to stand out. ,https://graphics.reuters.com/INDIA-KASHMIR-AIRLINES/010091M92G7/index.html,,,,,,,"Simon Scarr, Marco Hernandez"," The Reuters graphics desk publishes visual stories and data visualisations to accompany the Reuters news file. We typically cover all areas of the news, with content ranging from climate to financial markets. The team conceptualises, researches, reports, and executes many of the visual stories published. ",,,
Singapore,Reuters,Big,Participant,Best visualization (small and large newsrooms),The Brexit rift splitting the Conservative Party,18/07/19,Explainer,R," British Prime Minister Theresa May’s failure to secure the backing of parliament for her Brexit deal led her to resign the leadership of the Conservative Party, triggering a leadership contest. Her successor will inherit a fractured party and a House of Commons just as divided along the Brexit faultline.       With Reuters’ own analysis of the voting patterns of all 650 MPs, this project visualises the factions in the House of Commons that emerged while May tried to push through her Brexit divorce detail. ", The project was showcased on reuters.com and used throughout Reuters stories to add context and understanding of the divided parliament. ," The heart and strength of this piece was the original data analysis achieved and visualised in R. From there, the ternary visualisations were finessed in Adobe Illustrator  ", The most difficult part of the project was finding a clear and effective visualisation of voting patterns that explained the untraditional shifting support of British parliamentarians. ," R can be used to not only to analysis and report out stories, it can also be used to complete the main bulk of visualisation. ",https://graphics.reuters.com/BRITAIN-EU-LEADER/010092Q33KW/index.html,,,,,,,"Basil Simon, Léa Desrayaud"," The Reuters graphics desk publishes visual stories and data visualisations to accompany the Reuters news file. We typically cover all areas of the news, with content ranging from climate to financial markets. The team conceptualises, researches, reports, and executes many of the visual stories published. ",,,
Singapore,Reuters,Big,Participant,Best visualization (small and large newsrooms),India is running out of water,25/09/19,"Explainer,Infographics,Chart","D3.js,QGIS", India has consistently faced a water problem in recent years and the situation has only become worse. This project aimed to show the extent of the water shortage in the Indian subcontinent. , The visualisations showed how water especially in northern India has been depleted and an impending crisis is looming. The story was picked up on social media and pointed towards the gravity of India’s water shortage problem. ," QGIS and D3 were used to build these visualisations. Using the AQUASTAT database, the team was able to geographically locate increase and decreases in the water tables around the subcontinent. ", Combining the variables of population and water stress to harmoniously make that connection. This was crucial in order for teh reader to see the actual impact of the water stress. ," We felt that water is a very hard subject to visualise, so trying multiple ideas before arriving at our final visualisation was critical. ",https://graphics.reuters.com/INDIA-ENVIRONMENT-WATER/0100B2C41FD/index.html,,,,,,,"Gurman Bhatia, Manas Sharma"," The Reuters graphics team publishes visual stories and data visualisations to accompany the Reuters news file. We typically cover all areas of the news, with content ranging from climate to financial markets. The team conceptualises, researches, reports, and executes many of the visual stories published. ",,,
